"","Bee","AverageOvaryWidth","AverageWingLength","Infl","Degree","Close","Eigen","Between","QR","Queen","boutDegree","boutBetween","boutClose","boutEigen","bodyDegree","bodyBetween","bodyClose","bodyEigen","AverageBoutLength","Presence","AntPresence","mean_vel","move_perc","N90.Day4","MRSD.Day4","Initiation.Freq","clust","ovary_idx","Trial","QR_Queen_Condition","ID"
"420","RooibosTea_QL_1216_1646_ArUcoTag#23",0.25725,2.8865,0,4946.833244625,119.38649912925,0.121122070075,0.022555272075,0,0,514.89500017,0.015837585075,9.944324575075,0.1349176427,3472.620142425,0.02508503395,83.25484754975,0.128982821425,9.515628775925,0.873498397375,0.841869123225,4.570774985625,0.594411380725,45,747.0113416,0.471381794425,0.047881734725,0.0891217737744673,"RooibosTea","Queenless","RooibosTea Queenless"
"421","RooibosTea_QL_1216_1646_ArUcoTag#24",0.28775,2.7805,0,4046.428258075,111.281998345,0.10068939705,0.010204081575,0,0,425.1490491975,0.005849631525,9.26996196745,0.116124257725,2815.4535861,0.01284013605,78.72701386975,0.1104192205,9.54508210725,0.929863339125,0.90445679795,4.348964648925,0.623394074925,92,1221.050688,0.468247747925,0.04345781615,0.103488581190433,"RooibosTea","Queenless","RooibosTea Queenless"
"422","RooibosTea_QL_1216_1646_ArUcoTag#25",0.7425,3.0985,0,5961.8158655175,135.98225824,0.1537947189,0.068941326575,0,0,477.694023431,0.028296839575,9.96187290305,0.12886382485,3060.1462856875,0.028507653,81.13719757775,0.134692062175,12.051091020425,0.933592982025,0.907911915425,2.916277535375,0.5152522951,80,926.6129565,0.3780802547,0.053657538025,0.239632080038728,"RooibosTea","Queenless","RooibosTea Queenless"
"423","RooibosTea_QL_1216_1646_ArUcoTag#26",0.8785,2.855,0,6715.83580075,139.20568899975,0.1695800657,0.0366921769,0,0,609.3247567575,0.0208758503,11.000306498925,0.162357630975,3502.229769175,0.014795918325,85.82691936225,0.137347474,11.0305937312,0.8874543011,0.850990847025,5.19846305915,0.6445974944,42,1186.487821,0.421869428425,0.058221380325,0.307705779334501,"RooibosTea","Queenless","RooibosTea Queenless"
"424","RooibosTea_QL_1216_1646_ArUcoTag#29",0.522,2.634,0,3482.6763184975,86.87607064,0.0671790496,0.015263605475,0,0,347.1478323055,0.004995748275,7.127988687675,0.0704856145,2257.2063230025,0.0100340136,64.3427871725,0.064267575125,10.279015584725,0.74242717105,0.71798594425,4.2191079773,0.399250684,35,1215.77931,0.4099025071,0.02840610345,0.198177676537585,"RooibosTea","Queenless","RooibosTea Queenless"
"425","RooibosTea_QL_1216_1646_ArUcoTag#3",0.769,2.4715,0,3212.848055315,87.679092039,0.058696746425,0.010501700675,0,0,345.81786604425,0.0037096088,7.088259366775,0.069892317675,2312.0545231225,0.012159863925,67.16277813675,0.067593663425,9.333276979425,0.773023082025,0.746321268325,3.7788400054,0.404240336675,65,1854.069429,0.479774352925,0.029894171025,0.311147076674085,"RooibosTea","Queenless","RooibosTea Queenless"
"426","RooibosTea_QL_1216_1646_ArUcoTag#30",1.1795,3.118,0,5492.74808035,113.73682450075,0.10779303275,0.017176870725,0,0,739.455642345,0.024351615675,10.6206523228,0.1607567431,3059.1291107175,0.005697278875,68.051845338,0.0951248453,7.36186168465,0.7207553422,0.6687945666,8.211557718125,0.656401825075,8,190.9309478,0.456094764075,0.04384956115,0.378287363694676,"RooibosTea","Queenless","RooibosTea Queenless"
"427","RooibosTea_QL_1216_1646_ArUcoTag#32",0.35,2.4065,0,4773.464047575,111.75819335075,0.103913720275,0.014625850375,0,0,570.306734385,0.015327380925,9.974700250175,0.13684851395,3867.442413125,0.017942176925,85.70280726675,0.13300809585,8.416541879525,0.8142848435,0.78313400185,6.28652412895,0.631675092675,44,571.5167716,0.630680630475,0.045226511125,0.14543943486391,"RooibosTea","Queenless","RooibosTea Queenless"
"428","RooibosTea_QL_1216_1646_ArUcoTag#33",0.14725,2.3115,0,3335.05356365,78.87804373275,0.04862526425,0.004974489775,0,0,406.69590144,0.00342261905,6.927948889525,0.064865303825,2805.89227035,0.0038477891,59.9946646695,0.059619709775,8.2081355832,0.5946234592,0.525459520275,5.50911498025,0.462793233275,36,786.1503433,0.67924501795,0.0270858487,0.063703223015358,"RooibosTea","Queenless","RooibosTea Queenless"
"429","RooibosTea_QL_1216_1646_ArUcoTag#35",0.712,3.067,0,4965.26855305,119.823244388,0.118083017725,0.02234268705,0,0,514.382139495,0.01938775505,9.9626532611,0.133183515325,2853.593545875,0.0105229591,75.135322355,0.108436443325,9.52590475465,0.892389902025,0.865372088475,5.56462939205,0.619424922575,75,1713.794735,0.623113537025,0.04736247035,0.23214867949136,"RooibosTea","Queenless","RooibosTea Queenless"
"430","RooibosTea_QL_1216_1646_ArUcoTag#36",0.2055,2.5915,0,4243.00059015,105.799729023,0.090696299225,0.0101615646,0,0,448.828394725,0.005378401325,8.677583640425,0.103316788475,3576.163634375,0.02793367345,81.89593245625,0.118715154525,9.42713854475,0.80258066865,0.762106973725,4.6257533896,0.54448499285,44,674.0090871,0.53113546935,0.04042813105,0.0792977040324137,"RooibosTea","Queenless","RooibosTea Queenless"
"431","RooibosTea_QL_1216_1646_ArUcoTag#37",0.8725,2.7015,0,5693.6842255,128.746389905,0.139187158,0.019579081575,0,0,572.36741422,0.022704081525,10.631235214875,0.15118838975,3792.16033265,0.033652210875,88.89024487975,0.150160971725,9.955911748975,0.893730352725,0.86340206105,5.117663308325,0.58682099755,111,1398.2438,0.509968440825,0.05330871735,0.322968721080881,"RooibosTea","Queenless","RooibosTea Queenless"
